code,libelle,etat,insee_commune,nom_commune,mo_raison_sociale,x,y,precision_coord,categorie,puissance_maximum,productible_moyen,debit,coef_energetique,nb_turbines,type_turbine,titre,date_echeance_titre,hauteur_de_chute
65173001,ESTERRE,EXPL,65173,Esterre,ELECTRICITE DE FRANCE,454903.0,6201980.0,0,Ouvrage fonctionnant au fil de l'eau,15.0,49954376.0,5.4,"0,770000",3.0,Pelton,Concédée,2011-12-31,367.1
65177001,Moulin Lafitte,EXPL,65177,Fontrailles,E.U.R.L. DU MOULIN LAFFITTE,488688.0,6252890.0,0,Ouvrage fonctionnant au fil de l'eau,,559859.0,,,,,,,8.8
65191001,Centrale de Palouma,EXPL,65191,Gazost,ENERGIE ELECTRIQUE DE PALOUMA,456881.0,6216790.0,0,Ouvrage fonctionnant au fil de l'eau,1.422,1852538.0,,,2.0,,Autorisée,2021-12-14,145.0
65191002,Mortels (usine DETS INHERS Gazost),EXPL,65191,Gazost,SOCIETE DES FORCES HYDRAULIQUES DU NEES,455706.0,6218860.0,0,Ouvrage fonctionnant au fil de l'eau,3.2,6935806.0,,,,,,,138.0
65192001,PRAGNERES RG,EXPL,65192,Gavarnie-Gèdre,ELECTRICITE DE FRANCE,455340.0,6195890.0,0,Ouvrage de type Lac,85.0,115216872.0,12.0,"1,990000",1.0,Pelton,Concédée,2036-12-31,929.1
65192002,GEDRE,EXPL,65192,Gavarnie-Gèdre,ELECTRICITE DE FRANCE,455835.0,6191960.0,0,Ouvrage de type Lac,31.8,89499000.0,6.1,"1,460000",2.0,Pelton,Concédée,2042-12-31,656.5
65192003,Centrale de Pont de Bert,EXPL,65192,Gavarnie-Gèdre,ETABLISSEMENTS RENE ESCANDE ET COMPAGNIE,455753.0,6191870.0,0,Ouvrage fonctionnant au fil de l'eau,2.41,16432529.0,,,,,Concédée (autorisable),,140.0
65192004,PRAGNERES RD,EXPL,65192,Gavarnie-Gèdre,ELECTRICITE DE FRANCE,455340.0,6195890.0,0,Ouvrage de type Lac,185.0,89258000.0,19.0,"2,850000",2.0,Pelton,Concédée,,1255.0
65195001,PONT D'ESTAGNOU,EXPL,65195,Génos,SOCIETE HYDRO ELECTRIQUE DU MIDI,487849.0,6193800.0,0,Ouvrage fonctionnant au fil de l'eau,0.76,2472885.0,4.8,,1.0,Francis,Autorisée,2057-12-31,16.4
65195002,TRAMEZAYGUES CL,EXPL,65195,Génos,SOCIETE HYDRO ELECTRIQUE DU MIDI,487708.0,6186220.0,0,Ouvrage de type Lac,21.9,39413096.0,5.54,"0,500000",3.0,Pelton,Concédée,2004-12-31,460.0
65195003,TRAMEZAYGUES LA PEZ,EXPL,65195,Génos,SOCIETE HYDRO ELECTRIQUE DU MIDI,487696.0,6186220.0,0,Ouvrage fonctionnant au fil de l'eau,6.0,12235798.0,1.98,"1,020000",2.0,Pelton,Concédée,2004-12-31,260.0
65212001,GUCHEN,EXPL,65212,Guchen,ELECTRICITE DE FRANCE,481564.0,6199820.0,0,Ouvrage fonctionnant au fil de l'eau,5.7,15779938.0,1.5,"1,100000",2.0,Pelton,Concédée,2018-12-31,523.3
65218001,Centrale de Rebouc,EXPL,65218,Hèches,CERBERE,485641.0,6214350.0,0,Ouvrage fonctionnant au fil de l'eau,1.0,2927030.0,,,,,,,4.8
65218002,Micro Centrale de Heches,EXPL,65218,Hèches,DIET JEAN-PAUL,486106.0,6214870.0,0,Ouvrage fonctionnant au fil de l'eau,1.84,1177266.0,,,,,Concédée (autorisable),,3.8
65267001,LAU BALAGNAS,EXPL,65267,Lau-Balagnas,ELECTRICITE DE FRANCE,447066.0,6215930.0,0,Ouvrage fonctionnant par éclusées,31.0,85403128.0,20.3,"0,423000",4.0,Francis,Concédée,2007-12-31,189.4
65282001,AUBE,EXPL,65282,Loudenvielle,SOCIETE HYDRO ELECTRIQUE DU MIDI,488557.0,6189530.0,0,Ouvrage fonctionnant au fil de l'eau,2.19,4849593.0,0.8,"0,560000",1.0,Pelton,Autorisée,2060-12-31,279.5
65282002,PONT DE PRAT,EXPL,65282,Loudenvielle,SOCIETE HYDRO ELECTRIQUE DU MIDI,487690.0,6186390.0,0,Ouvrage fonctionnant au fil de l'eau,0.8,1118607.0,5.0,"0,032000",1.0,Kaplan,Autorisée,2056-12-31,16.3
65282003,LASSOULA,EXPL,65282,Loudenvielle,SOCIETE HYDRO ELECTRIQUE DU MIDI,488431.0,6183800.0,0,Ouvrage de type Lac,32.0,29828400.0,5.5,"1,040000",3.0,Pelton,Concédée,2004-12-31,486.0
65282004,LOUDENVIELLE,EXPL,65282,Loudenvielle,ELECTRICITE DE FRANCE,487894.0,6190790.0,0,Ouvrage fonctionnant au fil de l'eau,7.8,30942188.0,4.5,"0,470000",2.0,Pelton,Concédée,1992-04-17,246.1
65286001,Centrale des Oeuvres de la Grotte,EXPL,65286,Lourdes,ASSOCIATION DIOCESAINE DE TARBES  ET LOURDES,451488.0,6226950.0,0,Ouvrage fonctionnant au fil de l'eau,0.4,2581212.0,,,,,,,4.0
65286002,Centrale de Vizens,EXPL,65286,Lourdes,COMPAGNIE DU FUNICULAIRE DU PIC DU GRAND JER DE LOURDES,449396.0,6226990.0,0,Ouvrage fonctionnant au fil de l'eau,1.463,3732938.0,,,3.0,,Autorisée,2036-07-02,3.73
65286003,Centrale hydroélectrique Latour,EXPL,65286,Lourdes,COMPAGNIE DU FUNICULAIRE DU PIC DU GRAND JER DE LOURDES,451625.0,6225040.0,0,Ouvrage fonctionnant au fil de l'eau,,2562081.0,,,,,,,3.29
65291001,Centrale de Marescot,EXPL,65291,Lugagnan,CENTRALE HYDROELECTRIQUE SOPYREL,452230.0,6223520.0,0,Ouvrage fonctionnant au fil de l'eau,0.138,573760.0,,,,,Autorisée et fondée en titre,,6.73
65294001,Centrale de Lutilhous,EXPL,65294,Lutilhous,SOCIETE HYDRO-ELECTRIQUE DE CAPVERN LUTILHOUS,483183.0,6229150.0,0,Ouvrage fonctionnant au fil de l'eau,0.45,2551088.0,1.0,,,,Autorisée,2051-01-28,43.6
